id,x position,y position,Aperture radius,Total aperture flux,Local mean background per pixel,Total background in aperture,Corrected Aperture flux,Error on corrected flux
1.0,634.0,3115.0,6.0,2177924.0,4831.556132096156,546436.0,1631488.0,1632.0677069288517
2.0,675.0,2672.0,6.0,1892299.0,4604.123718417838,520714.0,1371585.0,1534.6517520271495
3.0,446.0,2310.0,6.0,2310300.0,4937.921370001259,558465.0,1751835.0,1675.325043088654
4.0,1772.0,4032.0,6.0,2289669.0,5031.842680793363,569088.0,1720581.0,1671.9823563662387
5.0,188.0,687.0,6.0,1452930.0,4204.614969705351,475530.0,977400.0,1369.5342273926562
6.0,704.0,2347.0,6.0,1671440.0,4360.308292784997,493139.0,1178301.0,1452.5102409277533
7.0,966.0,2956.0,6.0,1431967.0,4213.199389448369,476501.0,955466.0,1362.1762000563656
8.0,1312.0,210.0,6.0,1956402.0,5697.886223265059,644415.0,1311987.0,1590.3509046748143
9.0,1365.0,280.0,6.0,1698286.0,4210.3644420245455,476181.0,1222105.0,1456.556898991591
10.0,1417.0,1634.0,12.0,4449109.0,19589.596117649882,8862124.0,-4413015.0,2533.4699524565117
11.0,894.0,1237.0,6.0,1468099.0,4169.113470211914,471515.0,996584.0,1373.7627160466977
12.0,2278.0,765.0,6.0,1505339.0,4174.77341787562,472155.0,1033184.0,1387.4555848747016
13.0,208.0,3766.0,6.0,1416000.0,4340.244822771475,490870.0,925130.0,1361.0029390122565
14.0,577.0,295.0,6.0,1020151.0,3840.010889449705,434295.0,585856.0,1185.829245717949
15.0,1598.0,4145.0,6.0,1185867.0,4056.8694465963554,458821.0,727046.0,1262.4214827069445
16.0,1932.0,3049.0,6.0,987712.0,3832.0233007432803,433391.0,554321.0,1171.729064246509
17.0,1798.0,4322.0,6.0,1103505.0,3994.3812370649002,451753.0,651752.0,1226.810498813896
18.0,2385.0,3519.0,6.0,966302.0,3889.776650717752,439923.0,526379.0,1165.0515010075735
19.0,360.0,2179.0,6.0,1027643.0,4066.0506973759693,459859.0,567784.0,1198.5019816420831
20.0,2260.0,1313.0,6.0,1216463.0,5376.363396667601,608052.0,608411.0,1325.5014145597884
21.0,1493.0,1648.0,6.0,886434.0,3799.356748673669,429697.0,456737.0,1126.2268865552803
